,Artiste,Titre,Catégorie,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1485, Grizfolk,Queen of the Desert,rock,2792NQ5RI3QIbC1PHCZO5S,0.529,0.892,9,-5.721,1,0.0529,0.000467,0.00234,0.177,0.597,120.014,155271,4
1486, Toad The Wet Sprocket,Starting Now,rock,2ESJsIRGeB7gVU5X4HxANA,0.568,0.787,1,-4.632,0,0.0285,0.00278,0.000766,0.0825,0.238,119.953,226238,4
1487, Welshly Arms,save me from the monster in my head,rock,3eY4I6mtLJMCUmYWXBytqy,0.649,0.672,0,-6.191,1,0.0552,0.0092,0.0,0.0757,0.305,123.004,192976,4
1488, Tyler Bryant & the Shakedown Rebecca Lovell,Crazy Days,rock,2afAF1J9bBnRenuBIzbM57,0.414,0.843,0,-3.318,1,0.041,0.00445,8.9e-06,0.123,0.488,121.952,229467,4
1489, Angel Du$t,Turn Off The Guitar,rock,5GyD1xmgMg02yLift5Z1BA,0.637,0.878,9,-5.09,0,0.0565,0.0154,9.04e-05,0.362,0.684,152.074,189023,4
1490, Thad Cockrell Brittany Howard,Higher,rock,7bTDFXQ45L0dUyY4ZrrBxA,0.467,0.755,7,-4.158,1,0.0803,0.473,0.0,0.11,0.494,152.14,198355,4
1491, Ray LaMontagne,Strong Enough,rock,71UTcCow2CVqk8PkDsIrXq,0.717,0.706,2,-8.612,1,0.0278,0.116,1.51e-05,0.184,0.967,130.543,214653,4
1492, Fantastic Negrito,Chocolate Samurai,rock,47NdurHhkNx2A81ScnZN5E,0.739,0.669,5,-8.79,1,0.0386,0.0274,0.00464,0.123,0.547,128.26,295839,4
1493, Mother's Cake,Love Your Smell,rock,7ushCmTr07sfa7zKAKkf70,0.503,0.777,0,-6.479,1,0.0348,0.00898,0.0176,0.477,0.45,142.08,181372,4
1494, Wilderado,Surefire,rock,2N2gukfZet8Oe4aYR5Apd6,0.675,0.688,11,-5.116,1,0.0323,0.00062,2.07e-06,0.118,0.318,126.032,240252,4
1495, The Head and the Heart,Honeybee,rock,5CalS8Gn69OOrR9aiw0ZO9,0.642,0.52,9,-7.886,1,0.0387,0.118,0.000509,0.552,0.488,136.014,196055,4
1496, Cold War Kids,Somewhere,rock,5W4j8PLpYKZ28VoZ6svF7F,0.392,0.864,2,-5.134,1,0.0883,0.0207,5.61e-06,0.112,0.247,106.946,267147,4
1497, Lucero,Outrun the Moon,rock,72RGVy29rPhaYkxLRVJheR,0.566,0.659,6,-6.157,0,0.0329,0.00232,0.0637,0.0923,0.319,122.005,298847,4
1498, Matt Maeson Lana Del Rey,Hallucinogenics (feat. Lana Del Rey),rock,4A8pBxx0of2Y8r56dT0atf,0.59,0.597,0,-7.183,1,0.0527,0.499,0.0,0.175,0.313,121.843,186627,4
1499, Bakar,Hell N Back,rock,3NRql0A1Ef4RCvT473iqgD,0.584,0.684,10,-4.314,0,0.567,0.312,9.05e-05,0.112,0.72,210.164,213573,4
1500, Best Coast,Everything Has Changed,rock,2HLbRXRWUBflQuLtJFV8Lz,0.326,0.787,9,-2.739,0,0.0561,0.0201,0.000738,0.381,0.591,187.835,213939,4
1501, Creeper,Cyanide,rock,4kutzanEPtsdPPO8kjxjgu,0.389,0.764,2,-2.997,1,0.0329,0.0375,1.02e-05,0.328,0.638,172.007,207465,4
1502, Sea Girls,Forever,rock,45tc8SkRBUFUCwQY11JcQt,0.592,0.811,7,-8.282,1,0.0392,0.00118,0.00231,0.13,0.453,124.029,240640,4
1503, Brian Fallon,If Your Prayers Don't Get To Heaven,rock,7ssY5VFC2psfUuw5g7UQ9h,0.518,0.842,9,-5.162,0,0.0401,0.118,0.000258,0.133,0.597,201.95,250587,4
1504, Maddie Medley,Coming Of Age,rock,2tyDfuQvwUqdSiQp7r4Pai,0.369,0.667,10,-5.24,0,0.0587,0.0357,0.0,0.0435,0.366,156.791,245993,4
1505, Ben Kweller,American Cigarettes,rock,7Kw8Mxe12tdJUMk20ZpV0b,0.692,0.488,7,-7.007,1,0.0341,0.00516,0.0,0.113,0.291,144.06,222500,4
1506, Jason Isbell and the 400 Unit,Be Afraid,rock,6mLHg0qv2fwy2O1PGkKCe7,0.383,0.871,7,-5.503,1,0.238,0.005,0.0178,0.151,0.309,151.385,199722,4
1507, Gin Wigmore,Hangover Halo,rock,0Abb1mrHP0kS6kUdDehGNN,0.348,0.843,0,-3.41,1,0.0343,0.0142,2.16e-05,0.297,0.383,150.444,235293,4
1508, Brendan Benson,Dear Life,rock,3H9CgC890QkD4DyYm6YZst,0.41,0.7,6,-5.57,0,0.0413,0.0105,0.0,0.143,0.51,169.932,199133,4
1509, The Weeks,This Dance,rock,2gI0eyOLEgmBdn0mRRKpnA,0.575,0.57,9,-12.717,1,0.0382,0.04,0.0,0.0778,0.599,111.07,202258,4
1510, The Brevet,Strange Days,rock,1edotkeP1c2r6gFHySB6WD,0.373,0.715,0,-6.562,1,0.037,0.0169,0.0027,0.196,0.219,172.269,241820,4
1511, The Blue Stones,Shakin' Off The Rust,rock,0Aergaee1PD3zbWcjxcUJl,0.585,0.8,7,-6.094,1,0.035,0.0017,4.96e-06,0.0981,0.368,110.971,222936,4
1512, Moon Fever,Shaking off the Evil,rock,3ciJVCGD7fJmHQPyVGcG2U,0.473,0.804,10,-5.58,1,0.0515,0.00512,0.0,0.11,0.484,142.005,233200,4
1513, Michigander,Misery,rock,6Zz846CtUmQGP5z4F7sccA,0.343,0.732,0,-5.189,1,0.044,0.00533,0.00302,0.0685,0.392,180.162,180772,4
1514, ZZ Ward,The Dark,rock,1YEFAgWvotBS9MumZj20Sx,0.699,0.375,4,-8.689,1,0.0317,0.741,0.0,0.0802,0.29,99.019,179422,4
1515, Sturgill Simpson,Sing Along,rock,5Q2gtn5mYtdlqu76kp20sR,0.489,0.957,7,-2.812,1,0.056,0.0115,0.000405,0.173,0.53,124.026,174568,4
1516, Spoon,No Bullets Spent,rock,2atf946FbB7wpXr2Kwdx1t,0.764,0.706,8,-3.97,1,0.0598,0.163,0.00047,0.116,0.826,129.491,220720,4
1517, Mondo Cozmo,Come On,rock,2YUTrl4xlX9jAlpxWEpOnU,0.225,0.727,0,-3.78,1,0.0458,5.14e-06,5.12e-06,0.255,0.365,171.83,209529,4
1518, Sam Fender,Call Me Lover,rock,4Pg6x9W2ziSJh5iym9XRTB,0.505,0.599,8,-4.724,0,0.0376,0.177,0.0,0.078,0.467,86.084,201107,4
1519, Wilco,Everyone Hides,rock,2dZ0PelHrnlIEGJ6nwpcW1,0.728,0.886,2,-8.098,1,0.0579,0.311,0.0441,0.0834,0.837,145.75,179976,4
1520, Jesse Malin,Todd Youth - Feat. H.R.,rock,48unJgUiaVkrUxumpZ8Sia,0.645,0.811,11,-6.667,1,0.0398,0.0307,0.00154,0.0581,0.802,131.022,193606,4
1521, Illiterate Light,Better Than I Used To,rock,06lVg9PoXos3VlCjG0LIXd,0.438,0.637,2,-6.481,1,0.0272,0.000344,5.51e-06,0.128,0.367,78.089,257638,4
1522, The Record Company,Life To Fix - Radio Edit,rock,7nUBKIFijTXrZuq0k2nsgZ,0.601,0.843,9,-4.674,1,0.0446,0.133,1.75e-06,0.613,0.403,114.829,197104,4
1523, JD McPherson,LUCKY PENNY,rock,4qHSciBVrNNpUlI8TT9CHQ,0.698,0.736,2,-5.525,1,0.0481,0.0664,2.16e-05,0.119,0.822,127.979,214267,4
1524, KALEO,Break My Baby,rock,5NnFkbEjahUGx5T3qxbNCW,0.529,0.755,10,-3.917,0,0.0383,0.106,0.000607,0.157,0.383,73.998,265558,4
1525, Allan Rayman,Stitch,rock,6L0MtLLPMkNyxdTPiwcPIU,0.731,0.78,1,-4.903,1,0.0978,0.124,0.000176,0.0847,0.536,90.024,165827,4
1526, Dr JOE,Tell Your Mother,rock,4NrOX0curF1iOa5SUPdN6m,0.575,0.658,5,-5.893,0,0.0383,0.00132,0.000272,0.0267,0.649,131.0,214187,4
1527, The Blue Stones,Black Holes (Solid Ground),rock,3X4YuIXeQo5kf34mM0gtju,0.545,0.74,11,-7.081,0,0.0343,0.118,0.00012,0.192,0.29,92.007,183979,4
1528, X Ambassadors,HEY CHILD,rock,5j0oqJkeHoXjtPCgz9hMmd,0.697,0.661,5,-5.535,1,0.0453,0.00499,2.77e-06,0.0773,0.546,112.016,208653,4
1529, Hollis Brown,Do Me Right,rock,4Pl3V20QXfgJ3qrO1P3LGU,0.689,0.679,5,-6.735,1,0.0315,0.00028,3.38e-05,0.0986,0.43,136.988,278213,4
1530, Young the Giant,Superposition,rock,67YPjbcxUypwNOwYBZquq1,0.593,0.697,7,-5.416,1,0.0399,0.00289,0.0257,0.14,0.428,170.0,230960,4
1531, Blackberry Smoke,Waiting For The Thunder,rock,5xlUu9BvHt0tNbFA1NeeyD,0.583,0.749,9,-5.794,1,0.0316,0.287,0.00406,0.203,0.859,144.177,247008,4
1532, Jake Bugg,Kiss Like the Sun,rock,7rbUjxWedARjXTNqZjjccc,0.541,0.831,5,-4.065,1,0.0344,0.00352,0.0116,0.175,0.553,108.067,175730,4
1533, JJ Wilde,The Rush,rock,0GY2MWZBsPjHJetTPAacuG,0.747,0.842,0,-2.912,1,0.0489,0.000583,1.68e-05,0.0785,0.558,129.976,187890,4
1534, Bones Owens,Keep It Close,rock,6Mxb9ZguHzhND7GiTkWJiu,0.41,0.684,11,-5.391,1,0.032,0.0394,0.00112,0.137,0.636,80.137,220819,4
1535, The Record Company,Off The Ground,rock,3xRzUblYGZhVs52fMjii7R,0.543,0.696,7,-4.572,1,0.0426,0.601,0.215,0.384,0.849,92.15,253747,4
1536, Van Halen,Jump,rock,2PfBSkCKZDXMsJogMT0wML,0.547,0.822,0,-7.201,1,0.0292,0.0745,0.00943,0.0645,0.774,130.138,239560,4
1537, Guns N' Roses,Paradise City,rock,5Q41NLTmGbVPozwHKK7bk2,0.274,0.949,11,-8.642,1,0.0896,0.0214,0.00778,0.218,0.497,100.346,406307,4
1538, Scorpions,Rock You Like A Hurricane,rock,0XIvZ82aDF7JiSi3ZE320u,0.482,0.601,7,-12.846,1,0.0486,0.00853,0.000187,0.249,0.774,125.619,252493,4
1539, Van Halen,Panama - 2015 Remaster,rock,05RgAMGypEvqhNs5hPCbMS,0.527,0.978,8,-5.436,1,0.109,0.00124,4.75e-05,0.0744,0.463,141.169,210227,4
1540, Mötley Crüe,Dr. Feelgood,rock,5X0bLSho0KTiSQYCI0IOcl,0.53,0.952,2,-5.105,1,0.0577,0.000837,0.0119,0.262,0.433,110.98,290187,4
1541, Bon Jovi,You Give Love A Bad Name,rock,3U7H63zKWLjOuFZJUmTowp,0.559,0.825,0,-10.725,0,0.0401,0.0771,0.0,0.363,0.805,122.821,223733,4
1542, Whitesnake,Still of the Night - 2017 Remastered Version,rock,5PLPlz2rQlwMTFQqnQAPgu,0.403,0.88,0,-5.872,1,0.0532,0.00582,0.000508,0.319,0.235,100.457,399693,4
1543, Winger,Seventeen,rock,2ZS0wDcdfrJPC86u5aJGo9,0.577,0.676,8,-11.931,1,0.0295,0.000895,2.29e-06,0.0625,0.676,95.98,245267,4
1544, Cinderella,Nobody's Fool,rock,6LFoyjCI9eFZw3QmN46x2V,0.367,0.445,9,-13.615,0,0.0286,0.0478,0.00284,0.199,0.149,67.197,286627,4
1545, Dio,Rainbow in the Dark,rock,2PpNgmrS9mAyrkRAwn6YPq,0.512,0.947,9,-5.659,0,0.0401,0.000692,0.114,0.0283,0.612,117.461,256933,4
1546, Ratt,Lay It Down,rock,3D5ORNm9spaTcdRx50ksHx,0.442,0.759,10,-13.475,1,0.0354,0.000402,0.0081,0.174,0.279,198.117,205560,4
1547, Bon Jovi,Bad Medicine,rock,72hcFp4tYkd3dbNA9dZ3Pv,0.555,0.973,9,-3.804,1,0.035,0.048,0.0,0.0853,0.805,118.642,316707,4
1548, Quiet Riot,Metal Health (Bang Your Head),rock,28clONjZmul6FjfO6tZQDE,0.494,0.933,2,-5.977,1,0.0808,0.0434,0.00108,0.228,0.507,121.201,316867,4
1549, Europe,The Final Countdown,rock,3MrRksHupTVEQ7YbA0FsZK,0.529,0.843,6,-6.908,0,0.0616,0.0628,0.000827,0.0608,0.188,117.662,310333,4
1550, Mötley Crüe,Home Sweet Home,rock,4zXvB4MoQD8onk0NCZbeHG,0.403,0.777,5,-6.416,1,0.0354,0.0999,3.28e-06,0.124,0.149,76.329,240933,4
1551, Scorpions,No One Like You,rock,26fZwf1ImE4aUJ4XaqOkUg,0.505,0.631,9,-10.433,0,0.038,0.0203,2.21e-05,0.141,0.835,118.178,237467,4
1552, Lita Ford Ozzy Osbourne,Close My Eyes Forever,rock,43thLwzSasUUZEYjYPeJh3,0.476,0.331,5,-14.884,1,0.0305,0.31,2.82e-06,0.172,0.24,130.574,283133,4
1553, Guns N' Roses,Welcome To The Jungle,rock,5NIPsWpDjJTFBoPxCUUeXp,0.445,0.955,8,-8.027,1,0.0856,0.0326,0.284,0.317,0.336,123.343,273600,4
1554, Ozzy Osbourne,Mr. Crowley,rock,5XfWzGa5zuz88IOYbWNTMa,0.287,0.757,2,-6.482,0,0.0591,0.204,0.000294,0.359,0.357,108.554,302640,4
1555, Poison,Every Rose Has Its Thorn - Remastered 2003,rock,43GS3mtezoIFiuIZCLLiDY,0.533,0.637,6,-5.571,1,0.0323,0.16,1.12e-05,0.369,0.292,140.167,260173,4
1556, Whitesnake,Is This Love - 2017 Remastered Version,rock,3qwnfEm2N8lvD9BaJvOfaW,0.333,0.79,0,-6.802,1,0.0386,0.109,0.0,0.115,0.534,180.356,284600,4
1557, KISS,Lick It Up,rock,3cXiUuiGpFmZ8OdAWKk8Ck,0.681,0.773,2,-6.051,1,0.058,0.181,1.84e-05,0.311,0.547,120.276,236640,4
1558, Great White,Once Bitten Twice Shy,rock,7pkWZL0kA26s754CwyK0SH,0.723,0.541,0,-14.021,1,0.0303,0.028,0.00339,0.133,0.607,131.675,322897,4
1559, Bon Jovi,Wanted Dead Or Alive,rock,2fY6tqgrlrg1ky9fgs0t5u,0.257,0.803,7,-3.886,1,0.0411,0.137,0.0156,0.297,0.294,150.818,308667,4
1560, Cinderella,Don't Know What You Got (Till It's Gone),rock,3vPrFUtWpKT9oNW94NDDEW,0.36,0.527,9,-9.883,1,0.0289,0.229,0.000792,0.0536,0.247,132.639,354640,4
1561, Ratt,You're in Love,rock,3D3lmTEhuWaunO1yxpYPD8,0.567,0.867,7,-11.541,1,0.0484,0.00384,0.088,0.112,0.535,146.008,194107,4
1562, Mötley Crüe,"Girls, Girls, Girls",rock,5xLyTbCFONUGUuG0LtUxjn,0.6,0.931,7,-4.647,1,0.0734,0.0296,7.1e-05,0.392,0.542,140.123,270427,4
1563, Whitesnake,Here I Go Again 87 - 2007 Remastered Version,rock,3rdxvEfBp86WNcRDLaFEk9,0.39,0.898,7,-4.089,1,0.045,0.207,6.64e-05,0.217,0.204,90.703,270160,4
1564, Bon Jovi,Livin' On A Prayer,rock,7qQnBfwXrw2tZNFG4Uf57N,0.52,0.887,0,-3.296,1,0.0349,0.0665,0.000179,0.186,0.793,122.528,250627,4
1565, Guns N' Roses,Sweet Child O' Mine,rock,4MhTFsyqIJnjsOweVcU8ug,0.449,0.901,6,-7.711,1,0.0526,0.141,0.0675,0.128,0.696,125.148,356400,4
1566, Quiet Riot,Cum on Feel the Noize,rock,6FBmHx1FuaSnTnnnaThgbF,0.441,0.908,11,-4.627,0,0.115,0.000183,0.00328,0.0612,0.632,145.439,287400,4
1567, Europe,Rock the Night,rock,4NffXDmI70vw19P5Efoe0T,0.562,0.965,4,-2.789,0,0.0613,0.036,0.0,0.326,0.39,105.305,247493,4
1568, Poison,Talk Dirty To Me,rock,473dVAB97y06dfl6OBb1uj,0.49,0.951,11,-3.888,1,0.0966,0.00888,0.00126,0.376,0.628,158.075,224960,4
1569, Loverboy,Working for the Weekend,rock,0sgDEFq9oeC8ueOK0mR5IA,0.526,0.924,7,-5.591,1,0.0391,0.027,0.000728,0.598,0.793,147.28,220707,4
1570, Dio,Holy Diver,rock,57fqmDaokbxZ3TaB0jp39q,0.476,0.901,8,-6.751,1,0.0975,0.0642,0.158,0.0557,0.109,91.955,353787,4
1571, Mötley Crüe,Kickstart My Heart,rock,0mDpR6DpKc2DyiGtH0NcX8,0.361,0.97,7,-4.817,0,0.284,0.00169,0.00163,0.357,0.254,179.017,282920,4
1572, Ratt,Round and Round,rock,0SFS1LxNP5wgnoDA7nGKQu,0.628,0.934,11,-6.026,1,0.0527,0.00682,1.11e-05,0.0852,0.491,126.538,265893,4
1573, Twisted Sister,We're Not Gonna Take It,rock,5RHG4SQ6iJ1qQJmt3EFJCX,0.502,0.924,4,-6.299,1,0.0503,0.0127,0.0,0.162,0.922,149.186,219667,4
1574, Warrant,Cherry Pie,rock,7LygtNjQ65PSdzVjUnHXQb,0.472,0.946,2,-4.591,1,0.145,0.0372,0.0,0.352,0.486,177.489,201027,4
1575, Y&T,Summertime Girls - Studio Version,rock,2kR3B09M6KeJnchOkxwszt,0.431,0.698,4,-11.626,1,0.0336,0.00185,2.64e-06,0.232,0.774,128.932,209067,4
1576, Skid Row,18 and Life,rock,1HlGblweLq0eAwnb0NY1EQ,0.457,0.794,1,-6.624,0,0.0298,0.000384,7.18e-05,0.131,0.354,90.439,231280,4
1577, KISS,Heaven's On Fire,rock,1brpdmqkx3kSxyqzqXfW7J,0.679,0.866,0,-6.053,1,0.0635,0.00376,3.1e-05,0.312,0.785,124.324,201400,4
1578, Aerosmith,Dude (Looks Like A Lady),rock,6gQUbFwwdYXlKdmqRoWKJe,0.54,0.982,4,-2.962,0,0.0458,0.435,3.37e-05,0.0457,0.91,126.294,265773,4
1579, Cinderella,Gypsy Road,rock,3W1iDAW7PVwlMC2zJIKF0k,0.523,0.88,9,-9.019,1,0.0402,0.00961,0.000828,0.329,0.553,132.426,235733,4
1580, Dokken,Alone Again,rock,1j06ieEC2BOCM0fTmYhn2l,0.298,0.612,3,-9.002,0,0.0379,0.0194,9.67e-05,0.0906,0.343,156.727,262200,4
1581, Alice Cooper,Poison,rock,1iQpStZpzBb5TOuTDKJKdj,0.3,0.894,2,-7.786,0,0.109,0.0515,0.000333,0.125,0.268,118.631,269600,4
1582, Mr. Big,Addicted To That Rush,rock,4QPRua3G7RQraiYX2NwdH6,0.46,0.974,2,-5.095,1,0.156,0.0537,7.95e-06,0.329,0.444,112.684,284973,4
1583, XYZ,Inside Out,rock,5CWWOxTehNz94b4Xs0xFYV,0.426,0.961,8,-4.365,1,0.07,0.013,0.0259,0.0621,0.616,171.411,228533,4
1584, W.A.S.P.,I Wanna Be Somebody,rock,5F8WPtrurLmNE3tv6Sm14m,0.296,0.83,1,-7.051,0,0.0505,0.00081,0.0,0.263,0.478,164.124,223533,4
1585, White Lion,Wait,rock,2QfjV18pg4Ye7Vo4TsSobq,0.204,0.794,2,-7.586,1,0.0618,0.00122,0.0,0.148,0.205,149.346,295427,4
1586, Gary Moore,Wild Frontier - Remastered 2002,rock,1o0hcMxI6jYzQm6ApPde3L,0.479,0.822,4,-6.412,0,0.0444,0.00434,4.76e-06,0.0843,0.562,130.035,255720,4
1587, Michael Schenker Group,Armed And Ready - 2008 Remastered Version,rock,6q5vdf6Mfkk0eETYzmgokj,0.33,0.963,9,-5.509,1,0.106,0.00388,0.00714,0.0793,0.734,171.59,248333,4
1588, Rainbow,I Surrender,rock,0gGJO7JM51uAUu7EE2lxx6,0.498,0.858,7,-5.259,0,0.0661,0.159,0.0,0.262,0.778,132.718,241893,4
1589, Vixen,Edge Of A Broken Heart,rock,2mEk0VdrbDJ11DBC6Y92mh,0.619,0.751,7,-11.568,0,0.0417,0.0113,7.87e-05,0.123,0.532,126.079,265333,4
1590, Queensrÿche,I Don't Believe In Love - Remastered 2003,rock,0U2TocFjqul3sis3sE5jZl,0.562,0.991,7,-2.654,1,0.0745,0.0373,1.14e-05,0.425,0.266,118.004,263560,4
1591, Lita Ford,Kiss Me Deadly,rock,0kFM6t9htbB53Dg8frGDGh,0.468,0.743,0,-10.846,1,0.0326,0.00819,7.88e-05,0.369,0.648,156.103,241800,4
1592, Skid Row,I Remember You,rock,4ZpXHlV2vQVfPXUvbDSZ92,0.345,0.531,0,-12.708,1,0.0305,0.00642,7.28e-06,0.14,0.49,176.302,313693,4
1593, Mötley Crüe,Wild Side,rock,41wWrTueWew7qUU0Ru87Mp,0.596,0.896,0,-4.635,1,0.0382,0.00742,0.00057,0.372,0.456,115.092,281960,4
1594, Warrant,Heaven,rock,2dEgwtRjYl6TJkIwjRwn6z,0.462,0.488,6,-11.143,1,0.0287,0.115,0.0,0.128,0.33,145.789,236867,4
1595, Poison,Fallen Angel - Remastered,rock,27kMqdX3aoN3gBndVKlTfR,0.509,0.935,6,-3.633,1,0.0493,0.00864,1.17e-06,0.255,0.501,148.062,238200,4
1596, Mötley Crüe,Shout At The Devil,rock,1hqrYSqvNc9x3BETX1cZhk,0.489,0.953,0,-4.615,1,0.0858,0.02,0.00021,0.113,0.447,94.443,195853,4
1597, Bon Jovi,Runaway,rock,0X1sqQ652p1sceKM2nJlIJ,0.475,0.899,9,-4.321,0,0.0637,0.00375,1.91e-05,0.14,0.603,152.445,230667,4
1598, Cinderella,Shake Me,rock,1Qjpl8Kav6rrO92ZuG0OK8,0.537,0.9,9,-11.88,1,0.0301,0.00575,0.000156,0.2,0.549,132.742,222467,4
1599, Tesla,Modern Day Cowboy,rock,5ZIU2kT1wNjQNclQeVCz5O,0.445,0.768,4,-8.836,1,0.0347,0.0127,2.58e-06,0.0925,0.32,112.796,318227,4
1600, Van Halen,Why Can't This Be Love,rock,0TaT50ZZxT4ytZxuqkE3A9,0.531,0.626,0,-13.371,1,0.0452,0.0606,0.0,0.0767,0.746,88.236,227693,4
1601, Slaughter,Up All Night,rock,1AsRjeavWPH8sCQbjMP8Xh,0.516,0.733,7,-11.341,0,0.0326,0.000373,0.00716,0.258,0.552,98.005,226027,4
1602, Damn Yankees,High Enough,rock,5t5rCnsgRBtcKqTB7SbD1Q,0.273,0.537,2,-9.612,1,0.0306,0.0241,0.0,0.0922,0.232,81.814,287320,4
1603, KISS,Rock And Roll All Nite,rock,7990Xs9HQx7FXVIDVPEwj9,0.656,0.931,1,-5.827,1,0.0976,0.046,0.0,0.0543,0.909,144.747,168733,4
1604, Judas Priest,Living After Midnight,rock,0IXpUl1fn2QZcBavfuq0H4,0.61,0.824,4,-6.046,1,0.0534,0.0136,1.75e-06,0.0606,0.819,134.992,210133,4
1605, W.A.S.P.,Wild Child,rock,3iC3Numiy9P3AkF7iioKmx,0.372,0.857,5,-7.816,0,0.0461,0.0608,9.01e-05,0.187,0.389,146.08,312400,4
1606, Poison,Unskinny Bop,rock,1Z6lKdYhwp8WYoBqGCKxlM,0.574,0.93,1,-2.949,1,0.0413,0.0657,7.78e-06,0.108,0.69,92.303,228067,4
1607, Ozzy Osbourne,Bark at the Moon,rock,2E7W1X4maFFcjHrVrFA7Vs,0.303,0.961,9,-5.333,0,0.243,0.00253,6.2e-05,0.132,0.305,146.591,257120,4
1608, Dokken,In My Dreams (Re-Recorded / Remastered),rock,5IXUAYqwxmAFj69RWYFzbU,0.542,0.839,3,-4.404,0,0.0487,4.91e-05,0.0,0.0471,0.611,121.026,273013,4
1609, Night Ranger,Sister Christian,rock,57trQKFZdJxHia4sMJioWk,0.448,0.35,5,-16.239,1,0.0393,0.147,2.27e-06,0.0842,0.234,177.279,302933,4
1610, Tesla,Love Song,rock,73jxc8OqPUqXEzsRnCgw8M,0.355,0.379,7,-8.172,1,0.0361,0.396,0.0393,0.15,0.329,164.989,321267,4
1611, Van Halen,Ain't Talkin' 'Bout Love - 2015 Remaster,rock,6fybp4N6eW3bsFAvARxyVe,0.518,0.938,8,-5.964,0,0.0416,0.021,0.000305,0.288,0.71,139.138,227800,4
1612, Motörhead,Ace of Spades,rock,6EPRKhUOdiFSQwGBRBbvsZ,0.329,0.974,3,-8.77,0,0.135,0.000852,0.000118,0.0904,0.234,140.862,166920,4
1613, Kix,Don't Close Your Eyes,rock,7wrBlgNqYBAC5yFfO4fnYb,0.537,0.382,7,-15.568,0,0.0245,0.0795,0.00115,0.114,0.338,148.061,257053,4
1614, KISS,Detroit Rock City,rock,7Dtukb9NLJs1i0lohMlIC5,0.546,0.91,5,-6.736,1,0.061,0.0442,5.61e-05,0.263,0.458,90.58,215899,4
1615, Van Halen,Hot for Teacher - 2015 Remaster,rock,6QDbGdbJ57Mtkflsg42WV5,0.551,0.947,2,-4.671,1,0.152,0.000652,0.000257,0.0637,0.466,127.657,282747,4
1616, Firehouse,Don't Treat Me Bad,rock,4lbhQdbiTpNP7GowZG8KsM,0.616,0.807,8,-11.4,1,0.0348,0.000303,2.37e-05,0.193,0.637,111.054,235360,4
1617, Faster Pussycat,House of Pain,rock,46Qy1xAr2K7rylRYwdQ6Gw,0.519,0.61,0,-10.256,1,0.036,0.0766,6.49e-05,0.248,0.232,121.324,346627,4
1618, ZZ Top,Sharp Dressed Man - 2008 Remaster,rock,1UBQ5GK8JaQjm5VbkBZY66,0.601,0.859,5,-5.263,1,0.0276,0.000359,0.00124,0.0871,0.446,125.145,258027,4
1619, Black Sabbath,Paranoid - 2012 - Remaster,rock,1Y373MqadDRtclJNdnUXVc,0.412,0.658,4,-12.051,0,0.0708,4.52e-05,0.000774,0.176,0.454,163.071,168406,4
1620, Dokken,Breaking the Chains,rock,2W7CvGjipq3EmHqNGN7lN9,0.526,0.9,4,-4.76,0,0.0531,0.00914,0.0,0.277,0.458,125.349,231693,4
1621, Warrant,Uncle Tom's Cabin,rock,3WW3g2scq0m7ZY5JCxrdWw,0.633,0.732,8,-6.785,1,0.0707,0.186,1.37e-05,0.13,0.273,126.567,241507,4
1622, Ozzy Osbourne,"Mama, I'm Coming Home",rock,0S3gpZzlT9Hb7CCSV2owX7,0.282,0.656,8,-6.557,1,0.0302,0.0105,0.0,0.0892,0.242,139.352,251867,4
1623, Van Halen,Runnin' with the Devil - 2015 Remaster,rock,3KhF2YiNpJvGpfiCW45R6D,0.472,0.9,8,-6.406,0,0.0582,0.148,0.000297,0.34,0.42,95.826,214960,4
1624, David Lee Roth,Just Like Paradise,rock,5ZY7Gug850kv4heJcWZGHM,0.611,0.853,2,-4.983,1,0.034,0.0219,0.0,0.671,0.376,135.558,243280,4
1625, Rainbow,Since You Been Gone,rock,4N4guy1faBG6oseDnhjkWy,0.716,0.821,7,-4.204,1,0.0389,0.551,5.68e-06,0.618,0.931,120.737,197867,4
1626, Vixen,Cryin',rock,1Fu3vJJwVKY7c7JnTX3Mvi,0.657,0.567,9,-12.871,1,0.0261,0.146,2e-05,0.0554,0.563,109.007,211907,4
1627, Scorpions,Wind Of Change,rock,6wjSNO6uJYlgbbfauyWhiw,0.453,0.543,0,-10.106,1,0.0366,0.297,0.0,0.0928,0.282,151.362,313227,4
