,Artiste,Titre,Catégorie,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1376, Makes My Blood Dance,Communion - Radio Edit,rock,2Iz4d09JXHCyLgIcQ6wXr2,0.51,0.903,0,-6.605,1,0.074,3.17e-05,0.000223,0.303,0.316,119.98,274198,4
1377, Broken Social Contract,Simple Things,rock,3usaucYlOdGZ5qMITuoWug,0.336,0.736,11,-6.827,0,0.0366,0.00678,1.43e-05,0.128,0.366,176.048,243212,3
1378, Steve Miller Band,The Joker,rock,1bp2IO61zbQrbWNmKKxg3f,0.596,0.448,5,-9.616,1,0.0396,0.365,5.3e-06,0.206,0.796,83.293,264504,4
1379, Don Henley,The Boys Of Summer,rock,4gvea7UlDkAvsJBPZAd4oB,0.516,0.549,6,-13.741,1,0.0373,0.501,0.00572,0.184,0.907,176.941,288733,4
1380, Survivor,Eye of the Tiger,rock,2KH16WveTQWT6KOG9Rg6e2,0.817,0.599,0,-9.249,0,0.0328,0.132,0.000311,0.0873,0.548,108.873,245640,4
1384, Mary Ann Redmond,Boys of Summer,rock,0dc49KhAJUf9gGVLcTnG7H,0.539,0.461,7,-11.401,0,0.0341,0.314,9.21e-06,0.11,0.187,76.262,280706,4
1385, The Kim White Band,Funk That Junk,rock,2Sz2nEXWR0SOaveu6USQaz,0.676,0.7,2,-5.995,1,0.0814,0.0231,0.00147,0.132,0.439,99.831,176225,4
1386, George Harrison,My Sweet Lord - Remastered 2014,rock,0qdQUeKVyevrbKhAo0ibxS,0.537,0.701,1,-8.913,0,0.0335,0.0972,0.0,0.0832,0.583,120.919,281227,4
1387, John Mellencamp,Jack & Diane,rock,43btz2xjMKpcmjkuRsvxyg,0.811,0.41,9,-8.214,1,0.0391,0.0365,6.63e-06,0.0799,0.626,103.965,254493,4
1388, Starship,We Built This City,rock,6OnfBiiSc9RGKiBKKtZXgQ,0.661,0.908,5,-4.897,1,0.039,0.052,0.0,0.0708,0.656,144.091,296080,4
1389, Mary Ann Redmond,True Colors,rock,7hWQRlrCqVKTkU3fXMea63,0.33,0.414,10,-9.595,1,0.0297,0.573,0.0,0.139,0.194,108.899,287954,3
1390, Joe McLeod,Those Who Can Wait - Live,rock,2zvuHJASYeemlITBSIcGy9,0.458,0.0885,9,-13.438,0,0.0437,0.918,0.0,0.109,0.285,110.825,168288,4
1391, Thin Lizzy,The Boys Are Back In Town,rock,43DeSV93pJPT4lCZaWZ6b1,0.445,0.706,8,-9.803,1,0.0461,0.234,0.000252,0.205,0.768,80.823,266720,4
1392, Huey Lewis & The News,The Power Of Love,rock,2olVm1lHicpveMAo4AUDRB,0.768,0.829,5,-5.109,1,0.0313,0.0964,2.92e-05,0.097,0.962,118.773,234333,4
1393, Broken Social Contract,Fear,rock,23ILvUBTpSRIBbwJMlk8Nh,0.542,0.859,6,-6.211,0,0.0532,0.016,0.00294,0.0731,0.423,127.088,272756,4
1394, Raquel Aurilia,Long Way Home,rock,2bzh7UiaVRy7vMI1rq5qYW,0.525,0.759,1,-5.63,1,0.0336,0.0936,1.05e-06,0.266,0.508,110.979,201760,4
