,Artiste,Titre,Année,Rang,id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
614,gym class heroes ring adam levine,stereo hearts,2012,61,0qOnSQQF0yzuPWsXrQ9paz,79,0.646,0.795,9,-3.293,1,0.0976,0.0319,0.0,0.267,0.796,89.99,210960,4
616,the black eyed peas,the time (dirty bit),2011,36,4FUMXnmaJwp6dEAdzbDuSR,3,0.816,0.814,6,-7.798,0,0.0663,0.0661,2.76e-06,0.602,0.436,127.978,307640,4
617,diddy - dirty money ring skylar grey,coming home,2011,37,6Iocm6VMu6bVNYwiDoyQFW,70,0.392,0.839,7,-1.921,1,0.193,0.158,0.0,0.3,0.232,168.001,238693,4
618,pitbull ring t-pain,hey baby (drop it to the floor),2011,38,3rfhI32Il2hVRKDkuGeeen,66,0.595,0.913,10,-3.428,0,0.0884,0.0435,0.0,0.259,0.762,128.021,234453,4
619,lil wayne ring cory gunz,6 foot 7 foot,2011,40,37vgv81PF6Nj2OaBei8kol,30,0.364,0.752,2,-5.429,1,0.304,0.0007,0.0,0.318,0.606,79.119,248587,4
620,lady antebellum,just a kiss,2011,41,2OXidlnDThZR3zf36k6DVL,64,0.593,0.639,1,-5.826,1,0.0307,0.446,0.0,0.0998,0.332,142.881,218840,4
621,jason aldean,dirt road anthem,2011,42,2qYsSHsYkihWx043HVJQRV,73,0.68,0.741,2,-5.055,1,0.0357,0.347,1.87e-06,0.117,0.635,127.024,229400,4
622,waka flocka flame ring roscoe dash  wale,no hands,2011,44,03tqyYWC9Um2ZqU0ZN849H,76,0.76,0.595,1,-6.366,1,0.0391,0.00544,0.0,0.241,0.361,131.497,263773,4
623,britney spears,i wanna go,2011,45,5cCAZS9VhLGEDV4NCfieeg,65,0.696,0.546,5,-6.55,1,0.0414,0.00379,3.8e-06,0.332,0.787,130.002,210267,4
624,cobra starship ring sabi,you make me feel,2011,47,16Of7eeW44kt0a1M0nitHM,68,0.668,0.857,7,-2.944,0,0.0535,0.0191,6.71e-06,0.0385,0.748,131.959,215693,4
625,chris brown,yeah 3x,2011,48,2QtxlzvSBONjs1bDC34ixs,69,0.705,0.882,11,-3.201,0,0.0445,0.000369,1.16e-06,0.0934,0.7,130.0,241667,4
626,nicki minaj ring drake,moment 4 life,2011,49,0ConttVd0Ebk3dLNquOmh0,62,0.68,0.882,11,-3.883,1,0.236,0.406,0.0,0.241,0.386,97.943,279307,4
627,dr  dre ring eminem  skylar grey,i need a doctor,2011,50,70ATm56tH7OrQ1zurYssz0,71,0.594,0.946,3,-4.521,1,0.452,0.0869,0.0,0.306,0.397,155.826,283733,4
628,kelly rowland ring lil wayne,motivation,2011,52,4Cv5dkUBqepa0siwGREihD,64,0.735,0.679,9,-5.588,0,0.0431,0.18,0.000198,0.0766,0.264,140.858,231173,4
629,edward maya  vika jigulina,stereo love,2011,53,6oIEIdJL9kDbBrGIyLZHIT,54,0.778,0.776,9,-5.359,1,0.0362,0.0338,0.0216,0.0772,0.361,127.049,247615,4
630,christina perri,jar of hearts,2011,54,0HZhYMZOcUzZKSFwPOti6m,74,0.349,0.348,3,-6.142,1,0.0316,0.726,0.0,0.12,0.0886,74.541,246587,4
631,wiz khalifa,roll up,2011,55,53DB6LJV9B8sz0p1s6tlGS,64,0.523,0.805,3,-5.473,1,0.192,0.0524,0.0,0.0914,0.602,125.358,227773,5
632,lmfao,sexy and i know it,2011,56,0obBFrPYkSoBJbvHfUIhkv,62,0.707,0.861,7,-4.225,1,0.316,0.1,0.0,0.191,0.795,130.021,199480,4
634,lmfao,sexy and i know it,2012,13,0obBFrPYkSoBJbvHfUIhkv,62,0.707,0.861,7,-4.225,1,0.316,0.1,0.0,0.191,0.795,130.021,199480,4
636,far*east movement ring ryan tedder,rocketeer,2011,57,45sDIKapDyxPl307QpEAwl,69,0.664,0.845,4,-6.115,0,0.0461,0.181,0.0,0.267,0.357,96.005,211253,4
637,kanye west,all of the lights,2011,58,22L7bfCiAkJo5xGSQgmiIO,75,0.531,0.803,1,-3.284,1,0.0717,0.0796,1.71e-05,0.176,0.221,142.113,299613,4
638,britney spears,hold it against me,2011,59,7Dyq1bhhjknLKEGg4k5NLr,59,0.648,0.722,0,-4.813,0,0.0427,0.0103,0.0,0.24,0.389,132.973,228827,4
639,usher,more,2011,60,0aBKFfdyOD1Ttvgv0cfjjJ,66,0.551,0.893,7,-2.628,1,0.0543,0.00166,0.0,0.348,0.794,125.083,219987,4
640,avril lavigne,what the hell,2011,61,2z4U9d5OAA4YLNXoCgioxo,74,0.578,0.926,6,-3.689,0,0.0548,0.00472,0.0127,0.14,0.877,149.976,220707,4
641,tinie tempah ring eric turner,written in the stars,2011,62,61HQWI1Woxup7CnGwVUsdI,55,0.644,0.945,7,-3.534,1,0.0717,0.0587,0.0,0.184,0.573,91.017,219560,4
642,the script,for the first time,2011,65,09ZcYBGFX16X8GMDrvqQwt,62,0.396,0.629,9,-4.78,1,0.0287,0.0328,0.0,0.183,0.358,173.794,252853,4
643,blake shelton,honey bee,2011,66,0gY2iq0xJPRoIB1PScKSw4,64,0.481,0.849,4,-5.131,1,0.0385,0.00167,1.49e-06,0.121,0.723,205.57,210720,4
644,jason aldean with kelly clarkson,don't you wanna stay,2011,67,7CZiLgkiVHhFcDkI2Y4lZ4,61,0.445,0.631,11,-4.798,1,0.0304,0.129,0.0,0.0911,0.152,143.846,256440,4
645,rihanna ring calvin harris,we found love,2011,68,6qn9YLKt13AGvpq9jfO8py,75,0.734,0.766,1,-4.485,1,0.0383,0.025,0.00138,0.108,0.6,127.986,215227,4
647,rihanna ring calvin harris,we found love,2012,8,6qn9YLKt13AGvpq9jfO8py,75,0.734,0.766,1,-4.485,1,0.0383,0.025,0.00138,0.108,0.6,127.986,215227,4
649,keri hilson,pretty girl rock,2011,69,2Adn2LNgkHMH5TelQVAu4n,67,0.666,0.87,11,-5.004,0,0.246,0.203,0.0,0.0851,0.9,160.014,243920,4
650,taylor swift,back to december,2011,73,3DrjZArsPsoqbLzUZZV1Id,63,0.529,0.67,2,-4.663,1,0.0303,0.117,0.0,0.334,0.286,141.893,293027,4
651,eli young band,crazy girl,2011,75,1nVLAEzhBXMJLR5zAl90Nl,67,0.366,0.651,4,-3.842,1,0.031,0.000415,0.00526,0.271,0.257,151.343,200707,3
652,rihanna,cheers (drink to that),2011,76,46MDLc0Yip6xCMSsdePOAU,52,0.576,0.912,9,-3.623,1,0.0403,0.0182,0.0,0.293,0.727,79.981,261747,4
653,selena gomez  the scene,who says,2011,77,3TcL0dyCMyr0kyTTc4NLgI,75,0.682,0.927,4,-2.915,1,0.0479,0.0843,0.0,0.149,0.744,101.019,195613,4
654,jake owen,barefoot blue jean night,2011,78,3ts6xK5GzfMAAriT9AIBmP,71,0.6,0.808,4,-4.679,1,0.0403,0.208,0.0,0.196,0.809,172.016,167427,4
655,zac brown band ring jimmy buffett,knee deep,2011,79,0b2IVjeD268pYd7VUhmtKI,72,0.715,0.584,8,-8.231,1,0.0296,0.432,1.41e-06,0.095,0.609,90.99,203173,4
656,luke bryan,country girl (shake it for me),2011,80,0yD66650JxhqKbW76C2qCo,70,0.645,0.904,2,-4.532,1,0.0462,0.0293,0.0,0.0834,0.671,105.97,225560,4
657,brad paisley duet with carrie underwood,remind me,2011,81,4ABua0yuWcpTotImEEJTaw,61,0.485,0.726,5,-4.2,1,0.0327,0.0603,1.75e-05,0.225,0.288,140.781,271907,4
658,dev,in the dark,2011,82,1pbHy9VBpSyZh56xuujZz0,53,0.736,0.823,8,-4.231,1,0.0675,0.00358,0.000914,0.33,0.442,124.954,226227,4
659,drake,headlines,2011,84,6LxSe8YmdPxy095Ux6znaQ,72,0.636,0.566,6,-7.16,0,0.106,0.365,0.000353,0.0917,0.425,151.894,235987,4
