,Artiste,Titre,Année,Rang,id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
88,lavilliers bernard  cliff jimmy,melody tempo harmony,1995,26,6dWjfCa4ktmU7hdiJRrtZa,39,0.872,0.56,0,-6.415,1,0.0448,0.134,0.00169,0.0654,0.892,90.097,227187,4
89,cliff jimmy  lebo m,hakuna matata,1995,27,4Cip5rpau6JC8OgBIg71jn,49,0.431,0.47,0,-12.57,1,0.124,0.572,5.67e-06,0.104,0.65,165.997,212000,4
90,cranberries the,ode to my family,1995,28,1AWXiUQjoQfcmqaBEtaOoL,70,0.364,0.45,7,-10.117,1,0.0234,0.0598,1.57e-06,0.282,0.139,94.188,270707,4
91,zucchero,il volo,1995,30,2ApvbXrVsOgpEbJ3e7qMeT,54,0.451,0.356,11,-13.775,1,0.0289,0.0289,0.00623,0.059,0.141,75.006,330800,4
93,zucchero,il volo,1996,81,2ApvbXrVsOgpEbJ3e7qMeT,54,0.451,0.356,11,-13.775,1,0.0289,0.0289,0.00623,0.059,0.141,75.006,330800,4
95,nightcrawlers,push the feeling on,1995,31,1EWsVHU4FNAdtN4R8FETag,72,0.793,0.5,6,-13.108,0,0.0319,0.028,1.96e-05,0.186,0.833,123.017,243160,4
96,sister queen,let me be a drag queen,1995,32,372S8DaY7klSMcRta6tc2w,18,0.683,0.806,6,-8.42,0,0.0592,0.000457,9.31e-06,0.0673,0.633,133.99,204267,4
97,connells the,'74 - '75,1995,33,3X8Hu090mxjRdw9k5solan,13,0.517,0.526,11,-11.079,1,0.0261,0.2,0.00428,0.0846,0.46,143.945,274760,4
98,bon jovi,this ain't a love song,1995,34,0ZLBD6hHGN9LYOtNlu2n8e,61,0.348,0.635,4,-6.836,1,0.0386,0.0932,0.0,0.126,0.144,87.974,306240,3
99,u 2,hold me thrill me kiss me kill me,1995,35,4bIwOXjK9XhSciQNhBiu3Q,36,0.368,0.849,10,-6.973,0,0.0417,7.7e-05,0.276,0.167,0.377,171.661,286840,4
100,take that,back for good,1995,36,6vcdzohhBSbNdsZBh5IRpQ,70,0.6,0.504,5,-9.761,1,0.0292,0.308,0.0,0.137,0.547,78.961,242267,4
101,supreme n t m,la fievre,1995,38,5k4ANXL5wd9HMcgfuCtpJg,63,0.804,0.649,2,-7.926,0,0.0669,0.599,0.0105,0.0982,0.412,89.98,241547,4
102,alliance ethnik,honesty et jalousie,1995,39,5zYaTZt4dfJUbgQoTp9vhq,36,0.852,0.773,11,-6.439,1,0.116,0.376,0.0,0.266,0.884,107.209,267467,4
103,jackson janet,whoops now,1995,40,6ZLKrubnzVwaC71Zv8IC62,41,0.786,0.801,7,-5.755,1,0.0671,0.495,1.1e-05,0.354,0.839,130.209,299313,4
104,seal,kiss from a rose (love theme from 'batman forever') (b o f ),1995,41,3YKptz29AsOlm7WAVnztBh,73,0.583,0.532,10,-7.11,0,0.0309,0.684,0.0,0.306,0.223,131.741,288427,3
105,farmer mylene,xxl,1995,42,6k6LOLHzLj3D4zd1xmzLs4,38,0.564,0.744,6,-7.519,0,0.04,0.11,0.00195,0.131,0.655,125.122,265067,4
106,mike  mechanics the,over my shoulder,1995,44,0U9TKK9GYryei6Vn45TEdH,67,0.631,0.826,5,-7.856,0,0.0322,0.126,0.0,0.0648,0.82,92.353,217200,4
107,shaggy,boombastic (b o  de la pub 'levi's'),1995,45,6dBnrVaTJX0cD4qKc4KISW,0,0.852,0.887,2,-4.468,1,0.263,0.246,1.87e-05,0.311,0.788,158.565,246920,4
