,Artiste,Titre,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
737,Dagames,Break My Mind,6qJs5clnatFfW1mwhbPRV3,0.661,0.825,1,-9.409,1,0.0456,0.00301,0.00454,0.152,0.492,130.013,235896,4
738,Sean Dagher,Leave Her Johnny,2vaa0nnDnNTlxCh7fCmjsr,0.712,0.27,7,-4.382,0,0.0541,0.935,0.0,0.0582,0.728,120.416,132293,4
739,Daguerreotype,Room with a View,4YPS7aAalbuS8CNzbkARSK,0.245,0.903,2,-10.512,1,0.0484,5.71e-05,0.825,0.245,0.632,181.871,238153,4
740,Daguerre,Avalanches,0jBKPmwcZr6gIashNNqDUP,0.548,0.781,0,-7.206,1,0.0381,0.419,0.0228,0.101,0.647,105.067,164005,4
741,Daguerre,Rubicon,1WpOQym2XkpbPijXXQhQ0Y,0.611,0.6,0,-8.802,1,0.14,0.26,0.00478,0.151,0.577,77.976,237120,4
742,Kat Dahlia,I Think I'm In Love,3U1TuSqHIubBA10cVP7Sk6,0.632,0.638,7,-6.731,1,0.0505,0.137,0.0,0.125,0.574,121.868,202667,3
743,The Black Dahlia Murder,What a Horrible Night to Have a Curse,430xmK8Tw4J4VG8PxCqO4I,0.507,0.993,5,-3.44,1,0.139,1.69e-05,0.000665,0.0804,0.104,108.012,230693,1
744,Kat Dahlia,Crazy,3k8W4gDchU3eW6EAKkIhgw,0.825,0.688,1,-6.542,1,0.0458,0.193,1.28e-06,0.053,0.501,114.957,211320,4
745,Damien Rice,The Blower's Daughter,4B2lJinAkeNLSJjcq3dg8Q,0.342,0.2,4,-13.569,1,0.0324,0.134,0.000153,0.341,0.0743,133.113,286653,4
746,Damien Rice,9 Crimes,08YEGpKt2LHJ0URCXKHEie,0.329,0.167,0,-13.103,1,0.0296,0.913,9.56e-05,0.0921,0.0995,74.174,219227,4
747,Damien Rice,Delicate,5mb6SzBnxv1ywFSH9V3uxd,0.34,0.144,5,-14.502,1,0.0419,0.684,0.00112,0.101,0.147,81.179,312067,4
748,Trevor Daniel,Falling (blackbear Remix),59IUUAdjVbmq80Nkc3Q9Dx,0.803,0.485,1,-6.491,1,0.0365,0.121,0.0,0.092,0.422,127.01,171968,4
749,Steely Dan,Black Cow,66e2KstOkIo6V9PyDXWo3w,0.47,0.326,2,-15.201,1,0.0555,0.183,0.00761,0.0492,0.563,188.717,310227,4
750,D'Angelo,Really Love,2RcanAJpudPNDkyIe9DzKS,0.638,0.395,4,-11.299,0,0.1,0.724,0.569,0.0761,0.316,78.516,344347,4
751,Trevor Daniel,Falling,4TnjEaWOeW0eKTKIEvJyCa,0.785,0.431,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.085,159382,4
752,Daniel Caesar,Get You (feat. Kali Uchis),7zFXmv6vqI4qOt4yGf3jYZ,0.658,0.294,4,-8.533,0,0.0321,0.422,5.2e-05,0.0749,0.358,74.038,278180,4
753,DaniLeigh,Easy - Remix,4CMrdHWqic0usIZfTrKoI3,0.799,0.301,7,-11.361,1,0.185,0.195,0.0,0.0816,0.511,100.026,186587,4
754,Daniel Breaker,Who I'd Be,05vReyxhvuE564kb2Jnmux,0.308,0.642,1,-7.216,1,0.137,0.672,0.0,0.0843,0.401,190.057,239250,4
755,Daniela Darcourt,Adiós Amor,2ozv99MuHIaE4DZIzAr59q,0.677,0.771,1,-6.204,1,0.034,0.205,2.71e-06,0.0912,0.304,92.514,268214,4
756,Daniel Breaker,Don't Let Me Go,41Qh1ePdXZJFrZ1kLMHaLG,0.673,0.743,2,-6.139,1,0.175,0.611,0.0,0.13,0.653,126.591,169040,4
757,Daniel Lanois,That's The Way It Is,5ui44u6tEnipuke1eKYpMI,0.444,0.291,6,-14.637,1,0.0436,0.483,0.0197,0.129,0.0399,79.211,248067,1
758,Daniel Lanois,Desert Rose,0MPgkoIlmnaSH5VYDMpSNe,0.371,0.0689,2,-23.376,1,0.0348,0.954,0.912,0.116,0.129,138.599,111733,3
759,Daniel Lanois,Red,7kUzkS03Ov7VU43VvFCVoF,0.411,0.142,0,-15.995,1,0.0455,0.685,0.0,0.168,0.509,142.223,135267,4
760,Daniel Lavoie,Tu vas me détruire,2z3q8MBDQDK5mmEYChj05h,0.726,0.527,1,-11.572,0,0.0525,0.706,0.0,0.71,0.392,106.004,183600,4
761,Daniel Lavoie,Ils s'aiment,4tQBXkkoafrxzE4dphkTGz,0.552,0.565,2,-8.997,0,0.0299,0.736,1.47e-06,0.711,0.431,99.015,256747,4
762,Daniel Lavoie,Tu vas me détruire,5HzQzwNB8Y8zL7mjiZxuEI,0.726,0.527,1,-11.572,0,0.0525,0.706,0.0,0.71,0.392,106.004,183600,4
763,Daniel Merriweather,Water And A Flame (feat. Adele),6FZjUIfR6vEEg1bT9elJlf,0.558,0.689,2,-4.89,0,0.0408,0.0962,0.0,0.194,0.546,148.118,219187,4
764,Daniel Merriweather,Red,2w6ObkOPIp4ZtLNAa3Cd2V,0.422,0.67,4,-5.955,1,0.0292,0.107,0.0,0.11,0.119,95.797,233213,4
765,Daniel Merriweather,Impossible,2UHwue4HS2n8nEd4HKt4Q7,0.738,0.935,9,-3.722,0,0.0389,0.0127,0.000881,0.168,0.919,120.009,259853,4
766,Daniel Powter,Bad Day,0mUyMawtxj1CJ76kn9gIZK,0.599,0.785,3,-4.013,1,0.0309,0.448,0.00336,0.151,0.52,140.046,233640,4
767,Daniel Powter,Bad Day,2Pwm2YtneLSWi7vyUpT5fs,0.583,0.667,3,-7.351,1,0.029,0.27,3.64e-05,0.167,0.53,140.028,233920,4
768,Daniel Powter,Love You Lately,4X9pQMmllQbyIIFsffdUja,0.612,0.804,10,-4.09,1,0.0351,0.443,1.13e-06,0.313,0.558,146.101,179680,4
769,Danielle Brisebois,Gimme Little Sign - Single Version,6tk4jlS7rE01xCslIVymxe,0.688,0.91,6,-5.016,1,0.0372,0.334,0.0,0.306,0.81,112.453,182267,4
770,Danielle Brisebois,Everything My Heart Desires,6f5VuCIGY07zMPCdsWYPTp,0.612,0.332,7,-11.491,0,0.0334,0.463,8.47e-05,0.318,0.0722,93.456,238760,4
771,Danielle Brisebois,What If God Fell From The Sky,61mGAMjLtyjAGIDkMLOC3y,0.54,0.805,0,-6.457,1,0.0553,0.377,1.33e-05,0.102,0.482,104.926,173360,4
772,Dany Brillant,Quand je vois tes yeux,02XP1MPUox6QwwJedwGfEc,0.703,0.855,8,-5.932,1,0.0547,0.29,8.77e-06,0.0791,0.962,136.48,237440,4
773,Dany Brillant,Suzette,4AAwQy6zMT18yh73S4CZvU,0.685,0.536,9,-7.315,0,0.192,0.09,0.0,0.11,0.661,104.773,231266,4
