,Artiste,Titre,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Bob Marley & The Wailers,Three Little Birds,6A9mKXlFRPMPem6ygQSt7z,0.814,0.482,9,-10.493,1,0.0588,0.0111,1.57e-06,0.0476,0.615,148.404,180267,4
1,Bob Marley & The Wailers,Three Little Birds,6A9mKXlFRPMPem6ygQSt7z,0.814,0.482,9,-10.493,1,0.0588,0.0111,1.57e-06,0.0476,0.615,148.404,180267,4
2,Bob Marley & The Wailers,Three Little Birds,6A9mKXlFRPMPem6ygQSt7z,0.814,0.482,9,-10.493,1,0.0588,0.0111,1.57e-06,0.0476,0.615,148.404,180267,4
3,Bob Marley & The Wailers,Three Little Birds,6A9mKXlFRPMPem6ygQSt7z,0.814,0.482,9,-10.493,1,0.0588,0.0111,1.57e-06,0.0476,0.615,148.404,180267,4
4,Katrina & The Waves,Walking On Sunshine,05wIrZSwuaVWhcv5FfqeH0,0.596,0.869,10,-11.97,1,0.037,0.0116,0.173,0.0678,0.944,109.902,238733,4
5,Alan Walker,Faded,7gHs73wELdeycvS48JfIos,0.589,0.651,6,-5.097,1,0.0306,0.0291,3.2e-06,0.111,0.166,90.011,212627,4
6,Aaron Lewis,Country Boy (feat. George Jones & Charlie Daniels),77A7dWpSxVoauUbJn83Oj3,0.595,0.667,6,-6.442,1,0.034,0.296,0.0,0.109,0.272,121.949,283347,4
7,Aaron May,Let Go,1k5t0MC77UuwEp5FfZnKOd,0.87,0.498,9,-8.339,0,0.0623,0.046,0.0,0.146,0.692,110.019,176532,4
8,Aaron Smith,Dancin (feat. Luvli) - Krono Remix,6WkJ2OK163XXS2oARUC9JM,0.72,0.741,10,-6.529,0,0.0287,0.101,1.41e-05,0.289,0.357,119.896,198053,4
9,Abdul Malik Jabbar,Alamnahrah,46w6fZgUExLTx5b7BYY2q9,0.32,0.449,2,-11.189,1,0.129,0.747,0.000602,0.12,0.305,175.521,66822,5
10,Abdul Malik Jabbar,Alam,2kM4xApEKRxT8Ho0mB6P7J,0.502,0.0588,9,-18.303,0,0.0625,0.955,0.26,0.221,0.493,111.598,65804,5
11,Abd Al Malik,Gibraltar,68Zdc7gOYQS6EOVNJUhO5n,0.638,0.836,6,-5.77,0,0.152,0.406,0.0,0.0566,0.907,136.927,232987,4
12,Absynthe Minded,"My Heroics, Part One",2ZSHbGrO7VDM0UviKa46oI,0.709,0.394,4,-12.647,1,0.0249,0.612,0.000832,0.113,0.555,93.269,275307,4
13,Absynthe Minded,Envoi,3uAnkVQtHv2nM9eA0xEXrr,0.825,0.593,0,-10.648,1,0.0317,0.118,0.00859,0.148,0.692,119.996,245133,4
14,Absynthe Minded,Easy,5vV4f6dXcYdI1yZ37ecS8v,0.737,0.404,2,-10.818,1,0.0357,0.601,0.196,0.0858,0.807,96.004,320894,4
15,Adam Cohen,Cry Ophelia,0NI1qRlQr49laU3io14jwg,0.629,0.701,9,-7.742,1,0.0287,0.204,5.75e-05,0.0624,0.4,90.015,227427,4
16,Adam Cohen,What Other Guy,4LvSGKv16BANc4Okmk5yaU,0.365,0.283,1,-13.229,1,0.0488,0.773,0.000329,0.106,0.295,180.484,282280,3
17,Omer Adam,יש לנו את הכוח,6nib2o1RZE0FHvVJiF9SgH,0.631,0.536,11,-7.558,1,0.0564,0.678,0.0,0.0687,0.509,136.007,256750,4
18,Adam Naas,Fading Away,1fsarPmsdYzQuEtgeqLusc,0.687,0.484,5,-9.096,1,0.0325,0.402,4.79e-06,0.0607,0.268,100.074,247053,4
19,Adam Naas,I Want To Get You Close To Me,6djHeQOMCeQUnX6rCvH8WW,0.752,0.388,7,-7.2,0,0.076,0.362,0.000225,0.103,0.422,86.991,219720,4
20,Adam Naas,No Love Without Risk,2NmeXMqxlygUP25elXPXOY,0.714,0.333,2,-8.431,1,0.0492,0.4,0.00215,0.0867,0.0776,140.973,280707,3
21,Adele,Someone Like You,4kflIGfjdZJW4ot2ioixTB,0.559,0.33,9,-8.251,1,0.0285,0.892,0.0,0.0975,0.285,135.109,285040,4
22,Adele,Make You Feel My Love,6P7tTFzn6oNa0GL8w8oazE,0.552,0.18,10,-10.583,1,0.0293,0.894,0.000393,0.105,0.0896,76.995,212040,4
23,Adele,Set Fire to the Rain,3CKCZ9pfwAfoMZlMncA1Nc,0.61,0.683,2,-3.879,0,0.0253,0.00382,1.79e-06,0.125,0.466,108.003,241693,4
24,Adrien Gallo,Atlas,4JjK2OGvCzSEofjeIOYr5v,0.529,0.844,2,-6.882,0,0.0361,0.00169,0.692,0.23,0.593,151.955,280320,4
25,Adrien Gallo,Crocodile,6DQ0NEJgNF8Ivgk5NIEBeO,0.62,0.621,1,-6.759,1,0.0249,0.321,0.0436,0.249,0.159,100.583,232987,4
26,Adrien Gallo,Monokini,2cn5DsVQf77dLRSDTzkd6B,0.676,0.716,6,-8.438,0,0.0559,0.000761,0.000298,0.893,0.663,102.018,190773,4
27,Adrienne Pauly,J'veux un mec - Marlon B,2r9210ixI5FD7YPopfJXnf,0.754,0.794,9,-5.139,1,0.107,0.0275,0.0,0.116,0.748,122.049,253493,4
28,Adrienne Pauly,Pourquoi,0trtT6peAOQCJDQtUAanJ9,0.706,0.65,0,-4.86,0,0.0255,0.16,0.0,0.104,0.584,92.019,217613,4
29,Adrienne Pauly,L'Amour avec un con,65NMITH8EYiL6s0gA8PpgR,0.726,0.811,5,-4.977,1,0.037,0.157,1.44e-06,0.131,0.596,114.547,179880,4
30,Agnès Jaoui,Garcia: No se si fue de ti,15Eo2NoQVuv3w2zUrsH3jP,0.452,0.566,1,-9.171,0,0.219,0.841,9.34e-05,0.0687,0.169,185.728,267400,3
31,Agnès Jaoui,Candeia: Mon cher bien mal acquis,7fhPmca6OR9bYATyhNIrrH,0.67,0.274,4,-17.488,0,0.0383,0.927,0.199,0.0897,0.476,147.973,274560,4
32,Agnès Jaoui,Historia de un Amor,1f518VlDWKbJVXdvO3VhKd,0.54,0.237,11,-12.314,0,0.0501,0.891,0.0,0.101,0.296,99.633,178000,3
33,Akhenaton,"Bad Boys de Marseille, Pt. 2 (feat. Shurik'n)",78ujFEl6ZHZF8wRy7dYo0T,0.67,0.597,11,-8.379,0,0.269,0.0821,1.75e-05,0.0729,0.867,168.981,225693,4
34,Akhenaton,"Bad Boys de Marseille, Pt. 2 (feat. Shurik'n)",5q0tqXhUKqwBxissPvia6X,0.646,0.736,11,-5.391,0,0.241,0.0561,1.57e-06,0.102,0.842,168.98,223133,4
35,Akhenaton,11'30 contre les lois racistes,4BY0xCh2pnrudpZDB7SboM,0.724,0.683,2,-9.013,1,0.432,0.472,0.0,0.321,0.776,179.843,694040,4
36,Al Jarreau,Mornin',4TxBGpTxrNvRNhF39Dl3NQ,0.58,0.464,2,-13.252,1,0.0339,0.19,3e-05,0.263,0.563,89.775,258252,4
37,Al Jarreau,We're in This Love Together,1Let4BYaYSum46nAGO1i6v,0.597,0.323,5,-15.648,1,0.0494,0.56,2.24e-05,0.628,0.628,79.397,226067,4
38,Al Jarreau,After All,5g5EdgkfKVUceOTJtm0Kel,0.487,0.192,1,-17.308,1,0.0291,0.575,2.61e-06,0.0759,0.26,62.086,259533,4
39,Alain Bashung,La nuit je mens,7AOmyblplMezwpYuuh9Ltr,0.493,0.694,11,-7.587,0,0.0287,0.0289,2.87e-05,0.356,0.538,146.927,264707,4
40,Alain Bashung,Immortels,64XJOksESduPbepHxmW2rT,0.304,0.616,10,-7.084,0,0.0319,0.753,0.00539,0.106,0.173,78.865,264720,4
41,Alain Bashung,Vertige de l'amour,4JhUljpTRmzjzlXGXNpt76,0.75,0.537,4,-10.271,1,0.0277,0.216,0.43,0.135,0.776,112.264,196440,4
42,Alain Chamfort,Paradis - Paradis reprise,0zWPD9PyeRgnhuLqafRkmQ,0.675,0.736,6,-12.066,0,0.0488,0.00301,0.278,0.0755,0.458,125.019,380933,4
43,Alain Chamfort,Manureva,6IOledhFH0nPfNv9VHsNPY,0.62,0.803,4,-5.713,0,0.0272,0.141,0.000455,0.0516,0.716,131.753,403613,4
44,Alain Chamfort,Bambou,0sj1YGMZXYHguz4zxCucVe,0.671,0.782,11,-4.468,0,0.0322,0.187,0.00103,0.075,0.883,90.065,312040,4
45,Alain Souchon,Foule sentimentale,2W4ZxAHZAXOf6r65pCskGR,0.709,0.798,4,-8.29,0,0.0258,0.0447,0.00169,0.225,0.957,110.045,324907,4
46,Alain Souchon,Presque,5h405snk6LTdc9dkmzdulq,0.658,0.754,11,-8.444,1,0.0545,0.191,0.0411,0.124,0.765,132.016,196840,4
47,Alain Souchon,La vie ne vaut rien,2PQ06bEO6VKuiEsPAisJ1V,0.729,0.442,11,-9.628,0,0.0343,0.649,0.00299,0.11,0.563,78.301,216400,4
48,Alan Stivell,Bro gozh ma zadoù,5aYwgXdg6FzTJ1EHLmFW5r,0.247,0.454,2,-6.515,1,0.0285,0.941,0.00105,0.173,0.438,102.603,163867,3
49,Alan Stivell,Ys,5MLVfDgvsqDGk3ebmjEq7f,0.341,0.253,0,-19.957,0,0.0386,0.811,0.624,0.504,0.0378,128.636,529333,4
50,Alan Stivell,Tri Martolod,1st9sMjnzTqDr3up5GmKTe,0.486,0.759,0,-6.668,0,0.0279,0.501,4.25e-06,0.421,0.69,93.632,214267,4
51,Alanis Morissette,Hand in My Pocket - 2015 Remaster,2lE7oRoKssULAtbWViL385,0.657,0.655,0,-8.3,1,0.0248,0.135,0.00303,0.102,0.668,92.259,222013,4
52,Alanis Morissette,You Oughta Know - 2015 Remaster,3jS7bB0oXVOwGFZn3aE5NV,0.665,0.834,4,-7.737,1,0.0576,0.21,0.0,0.452,0.411,105.292,249493,4
53,Alanis Morissette,Ironic - 2015 Remaster,1d6KS9GH06JAd19uiBy9IE,0.408,0.582,11,-8.305,1,0.0508,0.218,0.0,0.159,0.365,114.926,230000,5
54,Pablo Alborán,"Y, ¿Si Fuera Ella? - + Es +",6t3xoutgsQxodhwINm97Gq,0.459,0.536,5,-5.76,1,0.0304,0.34,0.0,0.209,0.203,75.999,250000,4
55,Pablo Alborán,"Y, ¿Si Fuera Ella? - + Es +",4IO4Yt0kGm38BpNRIcVyEn,0.459,0.536,5,-5.76,1,0.0304,0.34,0.0,0.209,0.203,75.999,250000,4
56,Pablo Alborán,"Y, ¿Si Fuera Ella? - + Es +",51kzWIrKH1tvAFftJ1v55o,0.459,0.536,5,-5.76,1,0.0304,0.34,0.0,0.209,0.203,75.999,250000,4
57,Albin de la Simone,Moi moi,1tw5U9cTqnX8ogrWUbRSQ0,0.631,0.406,9,-10.502,0,0.031,0.915,0.298,0.107,0.107,114.979,309213,4
58,Albin de la Simone,Le grand amour,5rfNNdaCovygh3cxY1txTR,0.347,0.273,4,-11.988,0,0.0341,0.937,0.0374,0.129,0.366,98.69,216293,4
59,Albin de la Simone,C'est nous les acrobates,68TwjpkheARJBtH017fwNk,0.558,0.494,7,-9.011,1,0.0587,0.837,0.0,0.229,0.847,184.029,61107,4
60,Alela Diane,Émigré,3t9dQLtZPB8dXRu6QrQYLS,0.524,0.382,7,-11.024,1,0.029,0.863,0.00033,0.32,0.466,91.955,191813,4
61,Alela Diane,Take Us Back,3WpvCDpHLRGvD8i43GeuwW,0.42,0.182,7,-11.272,1,0.0319,0.946,0.000444,0.108,0.35,156.451,285240,4
62,Alela Diane,Lady Divine,6K3NuE57YuFBPnvrmrMUiq,0.506,0.288,2,-10.329,1,0.0292,0.891,0.00205,0.121,0.241,77.651,312293,4
63,Alex Hepburn,If You Stay,0QX03P89kiZIdg1h2UYERo,0.722,0.666,11,-5.429,1,0.0346,0.0444,3.78e-05,0.0681,0.599,116.981,194573,4
64,Alex Hepburn,Could Have Been Happy,5ZgXyT2ormfmbvAAyxov9H,0.43,0.333,11,-6.133,1,0.0385,0.947,0.0,0.107,0.377,156.068,214427,3
65,Alex Hepburn,I Believe,1GL6VxWCfDq2LEjpAL1T8I,0.558,0.528,0,-4.105,1,0.0798,0.902,0.0,0.0722,0.54,92.208,158328,5
66,Alice on the roof,Malade,0DeAfjxXBBBexsjQyLSzlv,0.687,0.868,9,-5.892,0,0.0645,0.392,0.0,0.0952,0.511,93.889,173733,4
67,Alice on the roof,How Long,4Q0mgVjM3xmOVGIBuiTKCO,0.566,0.775,0,-7.742,1,0.0459,0.529,0.109,0.109,0.298,127.028,262307,4
68,Alice on the roof,Easy Come Easy Go,3S7W8hblc66Y1geNl8OL68,0.365,0.451,6,-11.363,0,0.036,0.853,0.00532,0.174,0.181,147.69,214054,4
69,Alicia Keys,No One,6IwKcFdiRQZOWeYNhUiWIv,0.644,0.548,1,-5.416,0,0.0286,0.0209,8.68e-06,0.134,0.166,90.042,253813,4
70,Alicia Keys,If I Ain't Got You,3XVBdLihbNbxUwZosxcGuJ,0.609,0.445,7,-9.129,1,0.106,0.603,6.77e-06,0.104,0.166,118.393,228707,3
71,Alicia Keys,Girl on Fire,4esOae7i4rqTbAu9o5Pxco,0.482,0.706,9,-5.762,1,0.0609,0.135,0.00106,0.105,0.144,92.494,224920,4
72,Alister French,Knowledge,3NJZanKluA19ikdOfvAKOB,0.301,0.408,5,-3.155,0,0.0316,0.906,3.13e-05,0.26,0.0893,135.526,205113,4
73,Alister,1881,7AVS3tOPGYrpSFZGCN0jWh,0.225,0.218,7,-14.517,0,0.0317,0.922,0.928,0.0863,0.045,137.36,337000,4
74,The Alister Moore All Stars,Fat Bottom Girls,4UYP2K8HwWVWribqgceEoz,0.428,0.615,1,-12.528,1,0.0344,0.166,0.0,0.452,0.482,89.221,200188,3
75,Alliance Ethnik,Respect (feat. Vinia Mojica),3mgFUpTSGwwyZL11YTu8cw,0.855,0.47,5,-10.11,1,0.165,0.341,2.33e-05,0.113,0.761,102.187,274533,4
76,Alliance Ethnik,Simple et funky,0784emAlDLuQtgeL4QV4tJ,0.868,0.785,8,-10.068,1,0.157,0.105,0.0,0.214,0.799,103.112,221733,4
77,Alliance Ethnik,No limites,3I7cEhs1lqKBukbhP082lb,0.963,0.626,10,-4.632,0,0.171,0.322,0.00112,0.346,0.77,110.98,187467,4
78,Aloe Blacc,The Man,2stPxcgjdSImK7Gizl8ZUN,0.308,0.769,11,-7.256,0,0.065,0.0331,0.0,0.214,0.488,81.853,254880,4
79,Aloe Blacc,All Love Everything,7g5bq2JSKV0eNKTFluoQNt,0.726,0.562,4,-8.226,1,0.0817,0.166,0.0,0.0774,0.757,160.157,147947,4
80,Aloe Blacc,Brooklyn In The Summer,5bTysxqGHXdSGiZVgljzCY,0.656,0.514,5,-5.27,1,0.0672,0.0914,0.0,0.058,0.818,120.073,208214,4
81,Alpha Blondy,I Wish You Were Here,7HXcSZsNnjm5HV49Rlk7n4,0.794,0.57,7,-7.753,1,0.0645,0.0197,0.014,0.104,0.575,143.977,267360,4
82,Alpha Blondy,Cocody Rock,3LTJjpjOGt6lW8TaenjHlr,0.796,0.667,6,-6.322,0,0.0983,0.105,8.24e-05,0.0933,0.958,147.372,293960,4
83,Alpha Blondy,Jerusalem,1ZAZDtitUGyYN8eiR4khhD,0.717,0.445,8,-5.726,0,0.0666,0.403,6.83e-05,0.105,0.692,131.085,469640,4
84,Amadou & Mariam,Sabali,0jHZ5yXOZNKvtwPGSgL0gX,0.596,0.639,0,-6.546,1,0.03,0.783,0.569,0.331,0.233,124.012,196627,4
85,Amadou & Mariam,Je pense à toi,2ixJ6aH76bIu2VJqCyJJvO,0.678,0.423,11,-10.223,0,0.0265,0.77,0.00248,0.151,0.855,106.346,316973,4
86,Amadou & Mariam,Senegal Fast Food,4UP2cLNgUjPzCHKS92pp2U,0.635,0.911,0,-6.607,1,0.0347,0.81,2.66e-05,0.147,0.877,82.006,259107,4
87,Amandine Bourgeois,"Je t'aimais, je t'aime et je t'aimerai",7Kw8uSGbshybOzw4fmosUx,0.281,0.486,8,-9.814,1,0.0504,0.298,0.00488,0.083,0.187,85.62,298063,4
88,Amandine Bourgeois,L'enfer et moi,3mwZp69BqdKAkstJQyrcNd,0.551,0.615,1,-4.921,0,0.0344,0.00762,1.01e-06,0.328,0.344,179.953,178853,4
89,Amandine Bourgeois,Sans amour,23Zu1jwIvGTtS1ZGIjt7SJ,0.647,0.922,9,-4.514,1,0.0302,0.043,1.59e-05,0.0919,0.962,136.988,145787,4
90,Amazigh Kateb,Damaa - Coke Studio Algérie,0iCa6Iqr082MG35r6wXcpe,0.624,0.487,0,-14.976,1,0.0583,0.647,0.0,0.0626,0.718,176.011,224638,4
91,Amazigh Kateb,Ya El Menfi - Coke Studio Algérie,2UUjCD6o0RqPZ3FHWjcET7,0.643,0.493,0,-14.491,1,0.0417,0.183,0.00243,0.0954,0.548,111.96,330551,4
92,Amazigh Kateb,Damaa - Coke Studio Algérie,05Qbt60nWj19T0rFcc4PFk,0.624,0.487,0,-14.976,1,0.0583,0.647,0.0,0.0626,0.718,176.011,224638,4
93,Âme Strong,Tout Est Bleu,32UPR2ZPoobLXrhQRBDeBs,0.692,0.543,8,-11.57,1,0.0391,0.0665,0.337,0.0863,0.594,103.673,222995,4
94,American Me,Attribute Of The Strong,5WgGoo4GffVHBKJziTkte1,0.333,0.958,9,-4.134,1,0.185,1.94e-05,0.492,0.157,0.103,123.809,111000,4
95,Âme Strong,Tout Est Bleu - Francois Kevorkian Mix,25KMopWWDO93zvrGHwXTEB,0.773,0.657,8,-11.963,1,0.0436,0.00379,0.8,0.0413,0.677,121.779,510825,4
96,Amel Bent,Jusqu'au bout,57XjBeWJLeOfy66c1G3mtf,0.701,0.696,10,-5.795,0,0.0953,0.192,1.35e-06,0.0942,0.68,117.978,176043,4
97,Amel Bent,Jusqu'au bout,2Iec8iZPEARGjxe0fn2q7w,0.701,0.696,10,-5.795,0,0.0953,0.192,1.35e-06,0.0942,0.68,117.978,176043,4
98,Amel Bent,Jusqu'au bout,2kUXqI4t2eLYqCh7Z8guP1,0.701,0.696,10,-5.795,0,0.0953,0.192,1.35e-06,0.0942,0.68,117.977,176043,4
99,Amina Gutierrez,Chill Baby,09O0A8Povv12IxPQcHqrdg,0.672,0.603,6,-8.983,1,0.0399,0.00887,0.0156,0.279,0.554,113.951,156601,4
100,Amina Lester,Mil Moments,5FXLGrDd46i96tS1FENcIS,0.709,0.293,9,-22.994,1,0.057,0.000536,0.827,0.105,0.147,129.992,169639,4
101,Amina Lester,First Games,1ccRnKJiaxwniVGFRjQf4s,0.559,0.125,10,-26.042,0,0.0312,0.39,0.951,0.0983,0.606,90.012,173427,4
102,Amir Obe,CIGARETTES,3TfTZ3fGLYtR1azsY8iEp4,0.664,0.38,6,-8.297,0,0.0625,0.0423,0.000537,0.122,0.236,144.045,190000,4
103,Amir Obe,WISH YOU WELL,5TidpShGz6Jxsbx8fzKDlC,0.851,0.359,0,-8.335,1,0.0832,0.0207,0.0,0.105,0.159,137.034,192600,4
104,Amir Obe,NATURALLY,62LFFIgexF6K6FgT7F3iGO,0.907,0.371,11,-9.932,1,0.162,0.00847,0.00351,0.0918,0.287,139.957,198693,4
105,Amy Macdonald,Mr Rock & Roll - Acoustic,5pw08GIoHUEKzSOro1gW5P,0.722,0.455,9,-5.401,1,0.0315,0.843,0.0,0.173,0.489,110.846,197373,4
106,Amy Macdonald,This Is The Life,3AI7ca5RpYLyqaVgU7K1AP,0.616,0.884,1,-5.043,0,0.0317,0.266,0.0,0.0657,0.856,94.979,184413,4
107,Amy Macdonald,The Hudson - Edit,0ScQYOnkwN4f4HyZiAEhOC,0.555,0.807,8,-4.095,1,0.0292,0.105,1.04e-05,0.114,0.852,121.025,206800,4
108,Vina Anais,There You Were,2m6G2vP3x33rQhfmSYB9Iy,0.302,0.0134,10,-27.372,1,0.0418,0.991,0.925,0.129,0.433,85.572,139052,3
109,Anaïs Mitchell,Wedding Song,2rT9gcryOWT1GwMcxZYkFM,0.501,0.522,5,-8.677,1,0.0353,0.618,0.00277,0.127,0.513,172.129,198080,4
110,anaïs,Learn To Love,26DseucvS2HZaOfHxR52pc,0.51,0.335,7,-10.405,1,0.0311,0.922,0.000606,0.107,0.263,79.056,256899,3
111,André Ceccarelli Trio,Sunrise,3tWmrSrVbNWqgZGStKgUmE,0.653,0.358,1,-15.03,1,0.0538,0.803,0.15,0.216,0.54,78.38,367320,4
112,André Ceccarelli Trio,3 Views of a Secret,1lpizjyKM7Zi0OTb5ntrWZ,0.39,0.479,9,-10.939,1,0.0304,0.562,0.103,0.135,0.272,146.667,450013,5
113,André Ceccarelli Trio,La vie en rose,2cOm1g75BEmHthnDzrx68F,0.431,0.474,0,-12.179,1,0.0376,0.595,0.121,0.325,0.481,102.317,336853,3
114,Andrea Falconieri,Corrente dicha la Cuella,4XzSMbdJhq0BjES2LB53bR,0.293,0.18,9,-20.634,0,0.0372,0.561,0.003,0.794,0.404,104.605,74254,4
115,Andrea Falconieri,"Il primo libro di canzone, sinfonie, fantasie, capricci, brandi, correnti, gagliarde, alemane, volte: Folias echa para mi Senora Dona",0SK5AncRzF9dhSPwSJ05iW,0.297,0.281,11,-15.786,1,0.0401,0.743,2.05e-05,0.0681,0.46,78.438,205547,3
116,Andreas Rönnberg,Water Corridor,2o3RD0epT5GFgibVS6zQgN,0.296,0.0666,7,-38.099,1,0.134,0.994,0.915,0.102,0.143,78.6,106372,4
117,Meredith Andrews,Strong God,3SIOTQRgKp413iS2yM0NIL,0.497,0.554,9,-7.139,1,0.0276,0.275,0.0,0.109,0.156,103.96,343907,4
118,Andrew Peterson,Faith To Be Strong - 2014 Version,43nbEhp8KJdzhBqa1Jc6wK,0.406,0.295,4,-14.203,1,0.0349,0.793,0.0,0.0863,0.435,116.377,220840,3
119,Andrew Peterson,Faith to Be Strong,5Qc4iEXajcr83Nobvy2hbh,0.582,0.249,7,-10.466,1,0.0301,0.508,0.0,0.142,0.464,120.982,210933,3
120,Los Ángeles Azules,Nunca Es Suficiente,63USmok1OioBzKuWGW9wAg,0.789,0.518,2,-5.417,0,0.0406,0.398,0.0,0.0891,0.78,94.001,266213,4
121,Los Angeles De Charly,Un Sueño,6iPDBwtiOZGlfQt9HD0jAG,0.66,0.666,9,-3.996,0,0.0269,0.0459,0.0,0.0518,0.737,149.445,225360,4
122,Los Ángeles Azules,Cómo Te Voy A Olvidar,51dNexiESqcJLsGLrmg1Nv,0.672,0.453,11,-7.896,0,0.0557,0.269,2.44e-06,0.138,0.674,83.123,267827,4
123,Angelique Kidjo,Once in a Lifetime,5nXXJeSf9MeDmUmEoafgOH,0.376,0.965,6,-3.219,0,0.294,0.00753,0.000172,0.197,0.671,116.65,348813,4
124,Angelique Kidjo,We Are One,0Jq3THfdtCPER3wAdsDh6S,0.551,0.506,10,-9.697,1,0.0307,0.33,0.000339,0.228,0.283,81.628,250760,4
125,Angelique Kidjo,Agolo,0epThWIIEZZBBwDaHoMBBz,0.701,0.808,0,-8.205,1,0.0439,0.0367,0.139,0.377,0.835,93.951,289493,4
126,Angus & Julia Stone,Big Jet Plane,5Z1U0knfYnsfvZycgDeOiC,0.762,0.387,10,-8.643,0,0.0277,0.239,0.00756,0.13,0.273,109.959,239147,4
127,Angus & Julia Stone,Big Jet Plane,5Z1U0knfYnsfvZycgDeOiC,0.762,0.387,10,-8.643,0,0.0277,0.239,0.00756,0.13,0.273,109.959,239147,4
128,Angus & Julia Stone,Big Jet Plane,5Z1U0knfYnsfvZycgDeOiC,0.762,0.387,10,-8.643,0,0.0277,0.239,0.00756,0.13,0.273,109.959,239147,4
129,Angus & Julia Stone,Big Jet Plane,5Z1U0knfYnsfvZycgDeOiC,0.762,0.387,10,-8.643,0,0.0277,0.239,0.00756,0.13,0.273,109.959,239147,4
130,Angus & Julia Stone,Chateau,62oCnK99vT8HOgwPsvXuiM,0.662,0.585,5,-11.255,1,0.0367,0.658,0.881,0.102,0.606,129.979,273533,4
131,Angus & Julia Stone,Chateau,62oCnK99vT8HOgwPsvXuiM,0.662,0.585,5,-11.255,1,0.0367,0.658,0.881,0.102,0.606,129.979,273533,4
132,Angus & Julia Stone,Chateau,62oCnK99vT8HOgwPsvXuiM,0.662,0.585,5,-11.255,1,0.0367,0.658,0.881,0.102,0.606,129.979,273533,4
133,Angus & Julia Stone,Chateau,62oCnK99vT8HOgwPsvXuiM,0.662,0.585,5,-11.255,1,0.0367,0.658,0.881,0.102,0.606,129.979,273533,4
134,Angus & Julia Stone,Stay With Me - Live From Spotify Berlin,2GiYPEgOA7hb7sqsEWX8df,0.614,0.101,0,-22.159,1,0.0395,0.825,0.0217,0.707,0.155,75.902,174360,4
135,Angus & Julia Stone,Stay With Me - Live From Spotify Berlin,2GiYPEgOA7hb7sqsEWX8df,0.614,0.101,0,-22.159,1,0.0395,0.825,0.0217,0.707,0.155,75.902,174360,4
136,Angus & Julia Stone,Stay With Me - Live From Spotify Berlin,2GiYPEgOA7hb7sqsEWX8df,0.614,0.101,0,-22.159,1,0.0395,0.825,0.0217,0.707,0.155,75.902,174360,4
137,Angus & Julia Stone,Stay With Me - Live From Spotify Berlin,2GiYPEgOA7hb7sqsEWX8df,0.614,0.101,0,-22.159,1,0.0395,0.825,0.0217,0.707,0.155,75.902,174360,4
138,ANISON PROJECT,Lovers,4LqFZzeiUj1yLpKtJYF3OT,0.367,0.91,1,-3.777,1,0.093,0.000346,0.0221,0.0626,0.597,164.004,226827,4
139,ANISON PROJECT,DISTANCE,0DNGtWIUK1pclKQQJgUvOi,0.547,0.936,2,-4.27,1,0.121,0.00755,0.0,0.376,0.569,99.012,186493,4
140,Anis Don Demina,Russian Pig,2Y79lzdhhMXgrV8USkqQyk,0.711,0.673,7,-7.051,0,0.118,0.0862,0.237,0.373,0.439,131.057,236191,4
141,Anna Calvi,Strange Weather,2CwHFaG0rLOGpYDm9ShLME,0.278,0.332,10,-9.573,0,0.0294,0.869,0.0391,0.156,0.0386,136.786,334173,4
142,Anna Calvi,You’re Not God (From ‘Peaky Blinders’ Original Soundtrack),42dMh3HDA0H0PtjX0OBqgY,0.538,0.0678,2,-15.305,1,0.0639,0.362,0.703,0.215,0.0809,69.069,186707,4
143,Anna Calvi,Don’t Beat the Girl out of My Boy,1eQN2B11BU0sIqBGAGnwsH,0.522,0.573,0,-7.109,1,0.027,0.0603,0.00173,0.136,0.267,81.001,243960,4
144,Anna Kova,Hypnotize,4RDDd5UihSbEJvpKVHhBPE,0.676,0.413,4,-7.852,0,0.375,0.274,0.0,0.133,0.128,89.828,183333,4
145,Anna Kova,Everybody's Got to Learn Sometime,6TdRTxsvt9kNuUCYJ2uFhB,0.625,0.377,0,-8.627,0,0.0416,0.49,8.95e-06,0.105,0.155,77.929,228116,4
146,Anna Kova,Light In,0X2sWCaWcqZWh7nlGKIyXH,0.658,0.686,1,-6.058,1,0.0513,0.12,0.000532,0.0778,0.175,125.004,220329,4
147,Anne Alvaro,La pivoine. Le brochet,1JC5zUPOo4lQhvs6c1uwa6,0.547,0.199,8,-24.633,1,0.633,0.372,0.0,0.165,0.247,86.062,77027,4
148,Annette et Mathi,La tendresse,0xUUTJyhnNJMFKa0vSIQt9,0.64,0.52,9,-5.5,0,0.0317,0.0743,0.152,0.129,0.575,120.004,197875,4
149,Annie Lennox,Walking on Broken Glass,4CcSw8wQAHYf4XNckayPoc,0.75,0.562,0,-8.45,1,0.0281,0.215,1.1e-06,0.105,0.807,115.008,253296,4
150,Annie Lennox,I Put A Spell On You,3sesq9P6ndjuqaq5om7sxT,0.567,0.366,2,-8.013,0,0.0359,0.442,1.23e-05,0.12,0.299,174.014,212047,3
151,Annie Lennox,"I Put A Spell On You (Fifty Shades of Grey) - From ""Fifty Shades Of Grey"" Soundtrack",6HChE1b3T5ke2XA50t9kGd,0.563,0.383,2,-7.544,0,0.0322,0.283,2.59e-06,0.127,0.357,173.984,210520,3
